,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.321886487,0.043183879,0.007878135,0.008102124,0.005345443,0.021803651,0.040144734,0.029958988,0.014090178,0.016687351,0.009481097,0.007421175,0.001283139,0.000779274,8.23611E-66,6.3793E-120,0.528045655
infected_2,0.054035709,4.49544742,0.231911004,0.029879651,0.023819621,0.068302191,0.090674201,0.097761636,0.103627127,0.069635087,0.042197051,0.016705662,0.006293228,0.001540943,0.000348249,8.10469E-39,5.33217878
infected_3,0.000456198,0.900348813,4.849507164,0.174748367,0.014352517,0.049915297,0.051711676,0.093743306,0.106808876,0.079077771,0.040247035,0.025755982,0.00639242,0.000780019,4.9464E-25,0.000182426,6.394027867
infected_4,0.002598262,0.044928406,1.751191065,7.000652372,0.066636283,0.064114338,0.072838974,0.117085535,0.107937607,0.119734711,0.047004113,0.035721881,0.007754804,0.001208001,6.2285E-33,1.7108E-70,9.439406351
infected_5,0.00718495,0.019045604,0.007112855,0.68151079,0.309313466,0.036708861,0.024995747,0.033607266,0.023079447,0.027360918,0.011826172,0.009883529,0.000746851,0.001269573,0.000177236,1.22002E-47,1.193823266
infected_6,0.007035853,0.095189762,0.028009183,0.163955799,0.203330974,0.12528855,0.022205314,0.032408692,0.041655088,0.035229885,0.007387697,0.01429398,0.004713609,0.002463048,0.000463369,0.001286575,0.784917377
infected_7,0.014142074,0.323792522,0.200821638,0.144937649,0.037660887,0.069502807,0.064038494,0.048954248,0.057689843,0.029023894,0.01907331,0.003441912,0.006087927,0.000459322,1.65543E-48,3.11351E-55,1.019626526
infected_8,0.024111744,0.218059588,0.149439881,0.086419765,0.016219363,0.049300101,0.069701812,0.057667628,0.069770521,0.032221597,0.003778513,0.010450368,0.000682947,0.002215452,1.8462E-123,9.70361E-67,0.790039281
infected_9,0.00782544,0.137251237,0.101756371,0.467973539,0.008402787,0.026712195,0.026583561,0.039955156,0.093534653,0.03213957,0.028008992,0.009313182,0.007207309,0.000521244,4.81876E-68,2.40487E-92,0.987185234
infected_10,0.065638862,0.292068424,0.176863201,0.718119988,0.005877237,0.032110167,0.062805907,0.060213422,0.061242592,0.035516182,0.034405539,0.018760879,0.00426471,0.001832599,6.2176E-134,3.27638E-72,1.569719709
infected_11,0.017282671,0.345863937,0.40819075,0.486725338,0.004798733,0.013111847,0.037120155,0.039899691,0.053483605,0.07106807,0.030270293,0.018796554,0.005201082,9.2054E-24,1.2387E-117,5.6454E-78,1.531812726
infected_12,0.0615255,0.412075699,0.335840049,0.427871217,0.006501423,0.05965172,0.023489773,0.043013449,0.058366523,0.041037541,0.029575107,0.03791645,0.011138371,1.21297E-31,0.000782719,0.00076303,1.549548569
infected_13,0.036401702,0.078707224,0.038098628,0.197501943,0.013548503,0.001866832,0.017395901,0.051760654,0.012059777,0.018696505,0.012737681,0.007237763,0.023774385,0.011591799,4.42529E-67,2.12163E-37,0.521379297
infected_14,0.001679701,0.030090926,0.011355832,8.52722E-32,0.00199202,0.001965293,0.012760406,0.005729564,0.005903088,0.009423271,0.002018491,0.015963398,0.0084717,0.017630199,0.011125546,3.4573E-126,0.136109438
infected_15,1.28089E-28,5.12237E-26,1.93369E-40,0.007625269,2.63694E-22,1.69841E-24,1.25953E-26,0.007629127,0.007860617,0.021180239,0.035233655,0.021456822,0.007743535,0.008014467,0.007912866,0.021382612,0.146039209
infected_16,2.81656E-94,0.021169575,8.47826E-42,0.021305276,4.89979E-36,0.007595881,9.77755E-69,2.23294E-60,1.43869E-48,8.56906E-60,4.697E-42,1.5994E-46,2.21076E-83,8.8596E-107,1.02043E-80,6.6141E-113,0.050070732
