,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20605E-92,1.20585E-05,3.1644E-125,1.20585E-05
infected_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34956E-05,7.64591E-79,2.38392E-65,1.34956E-05
infected_3,0,0,0.021117392,0.00762777,0.010669558,0.003258127,0.025851244,0.007343209,0.025840621,0.015021848,0.006386975,1.6294E-08,1.948E-17,2.7978E-53,4.95801E-06,3.7772E-102,0.123121718
infected_4,0,0,0.013595374,0.388689155,0.408017318,0.247651484,0.224134258,0.207666212,0.231940702,0.182988043,0.115384878,0.056713603,0.013085446,8.347E-06,2.85973E-06,1.88926E-31,2.08987768
infected_5,0,0,0.023308688,0.275000161,0.697312457,0.705311149,0.571488663,0.62760609,0.475070177,0.380754541,0.312166265,0.148558734,0.04720911,9.86113E-06,1.32609E-05,3.74318E-06,4.263812901
infected_6,0,0,0.031637011,0.255106239,0.700370968,1.244749056,0.864716869,0.841492886,0.779395842,0.546826767,0.482650058,0.230971561,0.066457514,1.60675E-05,1.01183E-05,3.01443E-06,6.044403971
infected_7,0,0,0.034800442,0.133839789,0.471133006,0.819827452,1.041570095,0.91045474,0.818015473,0.668328658,0.432866558,0.261606563,0.060412299,1.63796E-05,4.10101E-06,3.49479E-06,5.652879051
infected_8,0,0,0.021330784,0.266081463,0.389539819,0.767511713,0.797888867,1.098939756,1.071853105,0.742267142,0.580325957,0.239182664,0.042674446,1.22989E-05,9.13513E-06,6.02097E-06,6.017623172
infected_9,0,0,0.024165987,0.166607023,0.459676455,0.761033278,0.871439853,0.929535349,1.141727487,0.918027938,0.708490856,0.254601905,0.06273446,1.43626E-05,1.02722E-05,1.29504E-05,6.298078176
infected_10,0,0,0.032265616,0.208403227,0.313515624,0.572495562,0.712610202,0.780892927,0.809947753,0.791053589,0.547131673,0.28837198,0.050003511,1.6281E-05,1.08244E-05,6.09172E-06,5.106724862
infected_11,0,0,0.036758916,0.164245967,0.27496436,0.607745584,0.687760573,0.713846209,0.969106136,0.935437991,0.763088434,0.383459339,0.062966647,1.1808E-05,1.18227E-05,1.01613E-05,5.599413948
infected_12,0,0,0.06043046,0.11776025,0.197669003,0.3837292,0.517965264,0.486786574,0.623902503,0.492515202,0.490299003,0.31778121,0.063374404,1.34978E-05,6.5874E-06,6.65717E-06,3.752239815
infected_13,0,0,0.020776511,0.016262626,0.080016217,0.150520379,0.16097301,0.189618207,0.205553479,0.200856121,0.164785405,0.131752561,0.02213928,2.0302E-05,8.26102E-06,1.48398E-05,1.343297199
infected_14,7.603E-06,3.36327E-06,7.64855E-06,2.27622E-05,3.14933E-05,7.89308E-05,7.24213E-05,2.91748E-05,6.61874E-05,5.95693E-05,7.70713E-05,5.30688E-05,4.6603E-05,1.41633E-05,2.49066E-05,1.19109E-05,0.000606878
infected_15,5.78864E-55,7.88785E-42,2.5483E-06,2.60648E-05,1.68036E-05,2.12447E-05,3.57268E-05,4.02377E-05,3.56402E-05,3.09769E-05,2.13053E-05,4.49709E-05,2.61368E-05,1.68266E-05,1.66514E-05,2.60823E-05,0.000361216
infected_16,2.3572E-141,9.06872E-97,1.18637E-89,9.39934E-22,4.66E-05,4.69664E-05,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.06804E-05,7.26342E-75,1.10074E-65,1.02832E-05,5.16903E-49,8.28041E-43,0.000283788
