,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.617797481,0.157503931,0.07651713,0.152737711,0.180331753,0.386815716,0.323799703,0.28074979,0.321871524,0.301928837,0.284194714,0.286394782,0.219587516,0.228965969,0.234875404,0.114160919,4.16823288
infected_2,0.402868374,1.545182504,0.543599753,0.049942685,0.073311518,0.146364225,0.32227063,0.53922747,0.461697435,0.074202753,0.087554992,0.062919087,0.169931438,0.168634732,0.099102847,0.005234611,4.75204505
infected_3,0.077162692,0.657747277,2.980315448,0.354804763,0.427263394,0.253990016,0.301325496,0.307720916,0.591481323,0.370023066,0.270357781,0.057102324,0.107411192,0.216581559,0.109391432,0.147025172,7.229703851
infected_4,0.062857996,0.239171319,1.686932782,4.276964567,0.806969431,0.477120327,0.236386389,0.220368601,0.394060771,0.385062929,0.16134751,0.026132084,0.078839399,0.017563278,0.047666209,0.037509695,9.154953286
infected_5,0.057500347,0.046932192,0.130281148,0.932959923,3.650827588,1.592872689,0.874168332,0.492828655,0.403079043,0.461851958,0.472105227,0.271521114,0.173443931,0.098340304,0.149503809,0.088476924,9.896693184
infected_6,0.080565791,0.108854686,0.084303211,0.600046807,2.036935074,2.422648394,1.615492806,0.765359479,0.677540035,0.605414035,0.578960158,0.194012641,0.151068472,0.038616102,0.081007891,0.008443906,10.04926949
infected_7,0.249103874,0.072120863,0.347982717,0.069152262,0.623523989,0.890720055,1.448789931,0.873604587,0.638328128,0.445405104,0.501896947,0.413639958,0.265175055,0.128399972,0.131233064,0.070241401,7.169317906
infected_8,0.251887983,0.185610899,0.218871652,0.185665662,0.410906467,0.98703047,1.384710831,1.318452514,1.089494845,0.631734562,0.525799011,0.439723481,0.432416453,0.463212719,0.218536583,0.119190834,8.863244968
infected_9,0.369748995,0.1847263,0.223269101,0.125212415,0.532316132,0.487756864,0.850261338,0.82026431,0.944077788,0.675676388,0.566099879,0.286338429,0.340777677,0.199418294,0.253252391,0.047546812,6.906743114
infected_10,0.097916965,0.134926387,0.149378165,0.165940559,0.304656953,0.274434947,0.480866316,0.590911131,0.750132563,0.321619705,0.42218154,0.313484168,0.22146738,0.167795693,0.115602626,0.129804353,4.641119452
infected_11,0.075858982,0.114554794,0.289736169,0.167905547,0.293943268,0.58752463,0.51067374,0.628595409,0.585633317,0.341121871,0.369451256,0.572992917,0.472181209,0.204529935,0.238718333,0.111922535,5.565343912
infected_12,0.191913332,0.170338642,0.166245287,0.141470278,0.186890007,0.723937621,0.6399797,0.705339663,0.719717751,0.568807771,0.768166371,0.763236567,0.753113833,0.330379056,0.340313444,0.121083901,7.290933224
infected_13,0.098103837,0.111193693,0.118017457,0.226915099,0.422191358,0.596292861,0.581398297,0.700289291,0.780492319,0.658635855,0.52659616,0.776273665,0.674896082,0.680042075,0.507545548,0.303431334,7.762314931
infected_14,0.059113907,0.090563712,7.89382E-26,0.013684261,0.226952676,0.466793226,0.717926705,0.747960251,0.681914604,0.596594417,0.669648581,0.511980519,0.638809759,0.675590624,0.306108962,0.219115879,6.622758083
infected_15,0.027073367,0.041637504,0.041383346,0.109237108,0.000270048,0.322986781,0.309987534,0.251045265,0.469964942,0.389594477,0.344137736,0.395151933,1.080969505,1.279952656,0.250479137,0.088538815,5.402410154
infected_16,1.10383E-11,7.38378E-06,4.6474E-24,0.116787701,0.081685162,0.000165667,1.45687E-12,0.148885936,0.287652379,0.943051008,0.504464875,0.506491558,0.149337045,1.60799248,0.490741543,4.51948E-07,4.837263192
