,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,5.138179871,0.886623374,0.056973361,4.15792E-09,0.003806359,0.081407334,0.16954874,0.178804125,0.134257658,0.309503928,0.11099454,0.132611039,0.003529651,0.002025496,8.0963E-53,8.2806E-113,7.21E+00
infected_2,0.693390655,3.376593642,0.063996128,4.01805E-05,0.009394502,0.02754789,0.077779812,0.086282456,0.095925482,0.070971442,0.06810616,0.024364436,0.007955121,0.003344675,0.000463588,6.17136E-43,4.61E+00
infected_3,1.44358E-22,0.785290495,4.137193078,0.074225629,0.001117247,0.042046829,0.045687906,0.096239811,0.151789174,0.145343321,0.093272583,0.049219644,0.004103917,0.002351877,1.19978E-34,1.47547E-57,5.63E+00
infected_4,1.15277E-14,1.50079E-24,1.290194626,4.356352835,0.024239277,0.011702369,0.02581537,0.083597647,0.100703734,0.153761121,0.082893536,0.065175513,0.013696618,0.001069172,1.81235E-89,1.24173E-67,6.21E+00
infected_5,0.172051819,0.011684431,6.65272E-26,0.375399867,0.179592965,0.011975599,6.7909E-06,0.014689054,0.009527149,0.008826607,0.013396016,0.012150586,0.002219166,0.001835132,1.04867E-62,1.7918E-117,8.13E-01
infected_6,0.039590404,1.07914E-24,6.874E-29,0.014972819,0.418332198,0.080585668,0.042966201,0.009491535,0.029152429,0.010525675,2.55687E-31,0.021523433,0.016299994,0.012275706,2.97804E-61,0.011512106,7.07E-01
infected_7,0.044927173,0.045573647,0.417609558,0.36818919,0.107853351,0.243759935,0.074029405,0.084285949,0.071691304,0.031154734,0.028379008,0.005187376,0.003679313,0.002595139,9.7523E-46,9.51307E-64,1.53E+00
infected_8,0.056226261,0.10318529,0.054406091,0.01298701,1.63429E-27,0.028868307,0.047788601,0.102287252,0.148977681,0.022896024,0.007391012,0.006330223,3.09971E-31,1.437E-83,5.794E-119,1.4281E-109,5.91E-01
infected_9,0.027928904,0.371848187,0.047570174,0.805484894,7.83469E-24,0.023512679,0.006301031,0.071831634,0.151662707,0.095704264,0.083536313,0.02366686,0.034474549,3.21544E-57,2.6822E-137,7.4033E-115,1.74E+00
infected_10,0.352978774,0.447632529,0.043014932,0.777929897,1.03562E-10,0.030541307,0.069483117,0.138889214,0.079154086,0.01753963,0.046394105,0.030637186,0.003204489,6.51583E-36,5.5216E-130,1.3911E-130,2.04E+00
infected_11,0.134636389,0.632642797,1.177838429,0.723346149,8.95732E-10,0.00366645,0.045037531,0.031989065,0.060112354,0.129549749,0.091516262,0.043926068,0.01205718,1.3126E-49,6.2531E-139,1.8837E-127,3.09E+00
infected_12,0.239277768,0.927766533,1.760064292,0.015266179,1.0125E-27,0.024254036,1.05129E-19,0.011427959,0.074275044,0.110872184,0.063697283,0.039657812,0.029616077,1.58253E-61,3.01581E-77,6.1288E-135,3.30E+00
infected_13,0.044409779,0.032201969,0.081537797,0.432616789,0.019452484,9.80562E-31,0.005365076,0.005852917,0.005707311,0.005601234,0.014550428,0.013192684,0.011308721,0.003547707,6.30441E-74,7.9739E-99,6.75E-01
infected_14,0.006036605,0.027326275,0.005993084,5.36763E-41,7.77472E-54,3.23523E-42,0.005708829,5.55893E-49,0.005750118,0.005777956,1.21032E-49,0.01553559,0.014994234,0.024323311,2.77913E-52,2.1791E-117,1.11E-01
infected_15,1.76399E-65,6.11123E-64,2.37496E-81,2.3939E-102,7.3881E-148,7.10565E-94,1.85849E-87,1.53001E-65,4.58292E-87,2.11028E-72,2.4454E-105,1.415E-99,3.87288E-67,1.58784E-79,2.2316E-91,3.3443E-147,6.44E-64
infected_16,3.7694E-110,5.253E-118,3.8891E-106,1.3495E-125,1.9572E-117,2.2961E-131,6.99686E-93,3.6068E-140,4.8879E-101,5.8697E-116,5.2009E-108,1.415E-101,5.92427E-85,7.26E-130,2.5613E-136,4.2673E-115,5.92E-85
