,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1986E-125,1.3267E-100,3.0647E-139,1.3267E-100
infected_2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84564E-89,1.77588E-90,5.37793E-87,5.41816E-87
infected_3,0,0,0.041997254,3.2458E-73,3.5126E-128,1.86366E-83,8.04461E-70,0.014322749,6.25306E-58,1.74002E-72,0.031189939,1.49699E-94,1.44611E-80,1.21671E-75,2.47976E-05,1.37512E-74,0.087534739
infected_4,0,0,1.82361E-45,1.1907E-48,1.00852E-68,8.73975E-72,2.3418E-28,1.85525E-43,6.79661E-37,4.21497E-38,5.04202E-60,3.30224E-28,2.4294E-73,1.75058E-42,6.93477E-51,1.3751E-83,5.64404E-28
infected_5,0,0,0.025766623,0.179321314,0.406641299,0.630449983,0.319548877,0.647803568,0.441885667,0.511269426,0.297584454,0.096167229,0.008003955,1.53397E-05,3.33982E-34,3.49886E-06,3.564461233
infected_6,0,0,0.004249465,0.027293421,0.332857434,1.263839561,1.060596582,0.829338595,0.908408991,0.572866247,0.305976074,0.165776103,0.010262788,2.78723E-06,7.59006E-06,1.26666E-05,5.481488305
infected_7,0,0,0.023557286,0.118869956,0.414602846,0.798641797,1.068653468,0.863363283,0.760411801,0.32957569,0.348858328,0.071768527,0.005186838,3.93113E-06,2.25139E-27,1.21524E-18,4.803493751
infected_8,0,0,8.06234E-15,0.260946464,0.407873636,0.645437062,1.03569066,1.804950964,1.8274774,1.045989322,0.516161626,0.165260712,0.009350021,1.25337E-05,1.58235E-05,1.22632E-05,7.719178486
infected_9,0,0,0.003909135,0.151492392,0.40260096,0.814446399,1.178113972,0.92154763,1.179082772,0.98185182,0.919536228,0.131904891,0.013275574,1.5092E-05,1.23936E-05,6.94994E-06,6.697796208
infected_10,0,0,0.026730708,0.497790423,0.153618832,0.423021848,0.9518915,0.857499585,0.832065778,0.660644121,0.671148817,0.180166009,0.009353858,2.2389E-05,2.49948E-05,9.31589E-06,5.263988178
infected_11,0,0,0.060851651,0.437593818,0.095546749,0.505018005,0.387434044,0.797968184,0.906198072,0.683875109,0.4034943,0.156055493,0.005553825,7.45819E-06,4.55886E-06,1.06192E-05,4.439611887
infected_12,0,0,0.097193987,0.004335679,0.039953198,0.111026363,0.236092495,0.247942489,0.348688084,0.269473456,0.286376317,0.111879372,0.007370245,4.61435E-05,3.51693E-06,3.25731E-06,1.760384602
infected_13,0,0,0.005898454,0.00051679,0.002019937,0.023505488,0.018200545,0.042643511,0.048280382,0.065134928,0.029592271,0.011446293,0.00051033,4.1424E-05,8.45221E-06,4.14335E-05,0.247840238
infected_14,4.1704E-161,2.36007E-98,2.515E-64,2.51954E-82,8.15175E-06,8.53454E-06,6.69583E-05,8.50096E-06,3.77167E-05,6.76343E-05,9.72047E-05,2.27311E-05,3.73871E-05,6.69131E-05,6.71781E-05,8.17845E-06,0.000497089
infected_15,4.7809E-125,1.2544E-106,1.9075E-113,9.12145E-06,3.26908E-36,4.12975E-05,2.49307E-05,2.49347E-05,9.05272E-06,5.70503E-05,9.25751E-06,5.76073E-05,9.25471E-06,9.0286E-06,1.65891E-47,4.0965E-05,0.000292501
infected_16,6.2326E-127,1.161E-131,9.00286E-75,9.89585E-94,0.00010531,1.21814E-74,6.07066E-71,5.36309E-78,1.79111E-52,0.00010703,4.71427E-39,3.67962E-93,7.06392E-68,5.51107E-89,3.77477E-92,9.9422E-109,0.00021234
