STATEFP,PUMA5CE,PUMA NAME
01,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
01,00200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)
01,00301,Huntsville (North) & Madison (East) Cities
01,00302,Huntsville City (Central & South)
01,00400,DeKalb & Jackson Counties
01,00500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)
01,00600,Morgan & Lawrence Counties--Decatur City
01,00700,Cullman & Winston Counties
01,00800,St. Clair & Blount Counties
01,00900,Etowah County
01,01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
01,01100,Calhoun County
01,01200,Shelby County
01,01301,Birmingham City (West)
01,01302,Birmingham City (East)
01,01303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
01,01304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
01,01305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
01,01400,"Walker, Marion (South & West), Fayette & Lamar Counties"
01,01500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)
01,01600,Tuscaloosa & Northport (Southeast) Cities
01,01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
01,01800,"Chilton, Tallapoosa, Chambers & Coosa Counties"
01,01900,Lee County--Auburn City
01,02000,Montgomery City & Pike Road Town (North)
01,02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
01,02200,Southwest Alabama
01,02300,"Coffee, Covington, Butler & Crenshaw Counties"
01,02400,"Russell, Pike, Barbour, Macon & Bullock Counties"
01,02500,"Houston, Dale, Geneva & Henry Counties--Dothan City"
01,02600,Baldwin County
01,02701,Mobile City (East)
01,02702,Mobile City (West)
01,02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
02,00101,Anchorage Municipality (North)
02,00102,Anchorage Municipality (South)
02,00200,Matanuska-Susitna & Kenai Peninsula Boroughs
02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
02,00400,Subsistence Alaska
04,00100,Maricopa County--Gilbert (South) & Queen Creek Towns
04,00101,Maricopa County--Mesa City (East)
04,00102,Maricopa County--Mesa City (North Central)
04,00103,Maricopa County--Mesa City (West)
04,00104,Maricopa County--Mesa City (South Central)
04,00105,Maricopa County--Gilbert Town (North)
04,00106,Maricopa County--Chandler City (Northeast)
04,00107,Maricopa County--Chandler City (South)
04,00108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities
04,00109,Maricopa County--Tempe City (North)
04,00110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town
04,00111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town
04,00112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek"
04,00113,Phoenix City (Northeast)
04,00114,Phoenix City (Northeast Central)
04,00115,Phoenix City (Northwest Central)
04,00116,Phoenix City (Uptown)
04,00117,Phoenix City (East)
04,00118,Phoenix City--Downtown & Sky Harbor International Airport
04,00119,Phoenix City (South)
04,00120,Phoenix City--Ahwatukee & South Mountain
04,00121,Phoenix (Southwest) & Tolleson Cities
04,00122,Phoenix City--Maryvale (East)
04,00123,Phoenix City--Maryvale (West)
04,00124,Maricopa County--Glendale City (South)
04,00125,Phoenix City (West)
04,00126,Maricopa County--Glendale City (North)
04,00127,Maricopa County--Peoria City (South & Central)
04,00128,Phoenix City (North)
04,00129,Phoenix (Far North) & Peoria (Northwest) Cities
04,00130,Maricopa County--El Mirage City & Sun City
04,00131,Maricopa County--Surprise City (Central)
04,00132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities"
04,00133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities
04,00134,Maricopa County (West) & Gila River Indian Community (Northwest)
04,00201,Pima County (West)
04,00202,Tucson (West) & Marana Cities
04,00203,Pima County (North Central)--Oro Valley Town
04,00204,Pima County (Northeast)
04,00205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town
04,00206,Tucson City (Northeast)
04,00207,Tucson City (Northwest)
04,00208,Tucson City (South)
04,00209,Tucson City (Southeast)
04,00300,Navajo & Apache Counties
04,00400,Coconino County--Flagstaff City
04,00500,Yavapai County
04,00600,Mohave & La Paz Counties--Lake Havasu City
04,00700,Yuma County--Yuma City
04,00800,"Gila, Graham, Greenlee & Pinal (East) Counties"
04,00803,Pinal County (North)--Apache Junction City
04,00805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities"
